observed_on_string,observed_on,latitude,longitude,positional_accuracy,geoprivacy,scientific_name
2019-03-08 9:24:03 AM MST,2019-03-08,35.0927124074,-106.5732226521,66,,Lamium amplexicaule
2019/03/08 5:36 PM EST,2019-03-08,33.345520984,-95.6727125678,488,,Lamium amplexicaule
Sat Mar 09 2019 11:57:26 GMT-0800 (PST),2019-03-09,34.1285945,-118.4020166667,6,,Lamium amplexicaule
2019/03/02 6:38 PM CST,2019-03-02,33.5608382353,-85.7051547799,2,,Lamium amplexicaule
2019-03-11 3:24:48 PM EDT,2019-03-11,37.3177022565,-77.32140854,88,,Lamium amplexicaule
Mon Mar 11 2019 17:52:49 GMT-0400 (EDT),2019-03-11,35.9903150507,-78.9073182706,176,,Lamium amplexicaule
2019/02/09 2:55 PM CST,2019-02-09,29.3740733333,-95.624995,,,Lamium amplexicaule
2019-03-12 8:54:59 AM CDT,2019-03-12,37.9554290771,-91.7765655518,,,Lamium amplexicaule
2019-03-01 10:46:02 AM PST,2019-03-01,34.1161814835,-118.7600448355,66,,Lamium amplexicaule
2019/03/13 9:30 AM EDT,2019-03-13,38.6751730048,-77.226580229,10,,Lamium amplexicaule
2019/03/14 11:16 AM HST,2019-03-14,32.090665616,-96.4617919922,7813,,Lamium amplexicaule
2019/03/14 5:46 PM EDT,2019-03-14,37.6726318068,-77.5478564232,212,,Lamium amplexicaule
Fri Mar 15 2019 13:32:41 GMT-0500 (CDT),2019-03-15,32.7103777556,-97.1478903015,5,,Lamium amplexicaule
2019-03-16 12:45:19 PM MDT,2019-03-16,32.33001005,-106.590292,8,,Lamium amplexicaule
2019-02-07 11:32:03 AM EST,2019-02-07,33.8524005273,-84.5584563911,33,,Lamium amplexicaule
2019/03/16 9:05 AM CDT,2019-03-16,32.8198083333,-96.7282383333,,,Lamium amplexicaule
2019/03/16 10:25 AM CDT,2019-03-16,34.1524075784,-87.2662546408,8,,Lamium amplexicaule
Sun Mar 17 2019 13:26:04 GMT-0600 (MDT),2019-03-17,35.1224688348,-106.5548592434,5,,Lamium amplexicaule
Sat Mar 09 2019 15:34:30 GMT-0700 (MST),2019-03-09,35.1714356706,-106.62901479,5,obscured,Lamium amplexicaule
2019/03/17 1:54 PM PDT,2019-03-17,37.9145216667,-121.948895,,,Lamium amplexicaule
2019-03-17 15:43:50,2019-03-17,38.9295566667,-120.9316966667,,,Lamium amplexicaule
Tue Mar 19 2019 10:33:33 GMT-0400 (EDT),2019-03-19,38.9126863697,-77.0014300059,16,,Lamium amplexicaule
2019/03/17 1:04 PM PDT,2019-03-17,32.7722416667,-116.8261283333,,,Lamium amplexicaule
2019/03/17 1:34 PM PDT,2019-03-17,32.7785733333,-116.8521183333,,,Lamium amplexicaule
Wed Mar 20 2019 12:35:39 GMT-0400 (EDT),2019-03-20,38.9304320683,-76.9957748455,7,,Lamium amplexicaule
2019-03-20 6:15:45 PM CDT,2019-03-20,36.2464212244,-86.5707847103,11,,Lamium amplexicaule
Fri Mar 22 2019 11:43:42 GMT-0400 (EDT),2019-03-22,37.0864520548,-76.529213246,5,,Lamium amplexicaule
2019/03/22 11:47 AM CDT,2019-03-22,34.2028925791,-86.8280591245,8,,Lamium amplexicaule
Fri Mar 22 2019 16:17:44 GMT-0500 (CDT),2019-03-22,38.3945833333,-96.1872466667,8,,Lamium amplexicaule
2019/03/23 4:11 PM CDT,2019-03-23,34.0109123241,-85.9960044157,8,,Lamium amplexicaule
